source,source_version,original_name,normalized_name,occurrence_count
O*NET,31.0,Administration and Management,administration and management,1820
O*NET,31.0,Administrative,administrative,1820
O*NET,31.0,Biology,biology,1820
O*NET,31.0,Building and Construction,building and construction,1820
O*NET,31.0,Chemistry,chemistry,1820
O*NET,31.0,Communications and Media,communications and media,1820
O*NET,31.0,Computers and Electronics,computers and electronics,1820
O*NET,31.0,Customer and Personal Service,customer and personal service,1820
O*NET,31.0,Design,design,1820
O*NET,31.0,Economics and Accounting,economics and accounting,1820
O*NET,31.0,Education and Training,education and training,1820
O*NET,31.0,Engineering and Technology,engineering and technology,1820
O*NET,31.0,English Language,english language,1820
O*NET,31.0,Fine Arts,fine arts,1820
O*NET,31.0,Food Production,food production,1820
O*NET,31.0,Foreign Language,foreign language,1820
O*NET,31.0,Geography,geography,1820
O*NET,31.0,History and Archeology,history and archeology,1820
O*NET,31.0,Law and Government,law and government,1820
O*NET,31.0,Mathematics,mathematics,1820
O*NET,31.0,Mechanical,mechanical,1820
O*NET,31.0,Medicine and Dentistry,medicine and dentistry,1820
O*NET,31.0,Personnel and Human Resources,personnel and human resources,1820
O*NET,31.0,Philosophy and Theology,philosophy and theology,1820
O*NET,31.0,Physics,physics,1820
O*NET,31.0,Production and Processing,production and processing,1820
O*NET,31.0,Psychology,psychology,1820
O*NET,31.0,Public Safety and Security,public safety and security,1820
O*NET,31.0,Sales and Marketing,sales and marketing,1820
O*NET,31.0,Sociology and Anthropology,sociology and anthropology,1820
O*NET,31.0,Telecommunications,telecommunications,1820
O*NET,31.0,Therapy and Counseling,therapy and counseling,1820
O*NET,31.0,Transportation,transportation,1820
