source,source_version,onet_soc_code,occupation_title,element_id,element_name,importance,level,date,domain_source
O*NET,31.0,11-1011.00,Chief Executives,2.C.1.a,Administration and Management,4.78,6.50,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.1.b,Administrative,2.42,2.69,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.1.c,Economics and Accounting,4.04,4.98,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.1.d,Sales and Marketing,3.81,5.04,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.1.e,Customer and Personal Service,4.39,5.94,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.1.f,Personnel and Human Resources,4.48,5.78,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.2.a,Production and Processing,2.71,2.92,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.2.b,Food Production,1.14,0.40,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.3.a,Computers and Electronics,3.82,5.19,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.3.b,Engineering and Technology,3.05,3.51,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.3.c,Design,1.91,1.75,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.3.d,Building and Construction,1.83,1.55,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.3.e,Mechanical,2.10,1.92,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.4.a,Mathematics,3.60,4.63,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.4.b,Physics,2.01,1.28,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.4.c,Chemistry,1.69,1.38,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.4.d,Biology,1.74,1.26,08/2023,Incumbent
O*NET,31.0,11-1011.00,Chief Executives,2.C.4.e,Psychology,3.09,3.48,08/2023,Incumbent
