source,source_version,original_name,normalized_name,occurrence_count,occupation_count,hot_technology_count,in_demand_count
O*NET,31.0,Access software,access software,63,42,0,0
O*NET,31.0,Accounting software,accounting software,433,171,89,7
O*NET,31.0,Action games,action games,4,3,0,0
O*NET,31.0,Administration software,administration software,41,15,0,0
O*NET,31.0,Analytical or scientific software,analytical or scientific software,2900,372,339,76
O*NET,31.0,Application server software,application server software,190,54,117,24
O*NET,31.0,Audit software,audit software,1,1,0,0
O*NET,31.0,Authentication server software,authentication server software,12,9,0,1
O*NET,31.0,Aviation ground support software,aviation ground support software,5,4,0,0
O*NET,31.0,Backup or archival software,backup or archival software,63,26,0,0
O*NET,31.0,Bar coding software,bar coding software,2,2,0,0
O*NET,31.0,Billing and invoicing software,billing and invoicing software,54,42,0,0
O*NET,31.0,Bridge software,bridge software,1,1,0,0
O*NET,31.0,Business intelligence and data analysis software,business intelligence and data analysis software,354,117,128,40
O*NET,31.0,Calendar and scheduling software,calendar and scheduling software,232,178,0,0
O*NET,31.0,Categorization or classification software,categorization or classification software,28,16,0,0
O*NET,31.0,Charting software,charting software,12,10,0,0
O*NET,31.0,Cloud-based data access and sharing software,cloud-based data access and sharing software,139,84,34,0
O*NET,31.0,Cloud-based management software,cloud-based management software,106,52,66,5
O*NET,31.0,Cloud-based protection or security software,cloud-based protection or security software,10,10,0,1
O*NET,31.0,Clustering software,clustering software,30,24,0,0
O*NET,31.0,Communications server software,communications server software,44,41,0,0
O*NET,31.0,Compiler and decompiler software,compiler and decompiler software,27,12,0,2
O*NET,31.0,Compliance software,compliance software,149,43,0,3
O*NET,31.0,Computer aided design CAD and computer aided manufacturing CAM system,computer aided design cad and computer aided manufacturing cam system,3,3,0,0
O*NET,31.0,Computer aided design CAD software,computer aided design cad software,1011,245,358,108
O*NET,31.0,Computer aided manufacturing CAM software,computer aided manufacturing cam software,185,42,3,3
O*NET,31.0,Computer based training software,computer based training software,511,110,0,32
O*NET,31.0,Computer imaging software,computer imaging software,1,1,0,0
O*NET,31.0,Configuration management software,configuration management software,143,44,59,7
O*NET,31.0,Contact center software,contact center software,3,1,0,0
O*NET,31.0,Content workflow software,content workflow software,58,46,39,12
O*NET,31.0,Customer relationship management CRM software,customer relationship management crm software,374,142,88,20
