source,source_version,original_name,normalized_name,occurrence_count,occupation_count,hot_technology_count,in_demand_count
O*NET,31.0,!Trak-it Solutions !Trak-it HR,!trak-it solutions !trak-it hr,1,1,0,0
O*NET,31.0,100 Plus Hatch Pattern Library,100 plus hatch pattern library,1,1,0,0
O*NET,31.0,1003 Uniform Residential Loan Application,1003 uniform residential loan application,1,1,0,0
O*NET,31.0,1099 ProsSoftware,1099 prossoftware,1,1,0,0
O*NET,31.0,1CadCam Unigraphics,1cadcam unigraphics,10,10,0,0
O*NET,31.0,1ST Pricing Window & Door Toolkit,1st pricing window & door toolkit,1,1,0,0
O*NET,31.0,20-20 Technologies 20-20 Design,20-20 technologies 20-20 design,1,1,0,0
O*NET,31.0,24SevenOffice Project,24sevenoffice project,1,1,0,0
O*NET,31.0,2AB iLock Security Services,2ab ilock security services,1,1,0,0
O*NET,31.0,360 Analytics eQUEST,360 analytics equest,1,1,0,0
O*NET,31.0,3D graphic design software,3d graphic design software,1,1,0,0
O*NET,31.0,3D graphics software,3d graphics software,3,3,0,0
O*NET,31.0,3D motion analysis software,3d motion analysis software,1,1,0,0
O*NET,31.0,3D Nature LLC Visual Nature Studio,3d nature llc visual nature studio,1,1,0,0
O*NET,31.0,3D Nature LLC World Construction Set,3d nature llc world construction set,1,1,0,0
O*NET,31.0,3D Printing software,3d printing software,1,1,0,0
O*NET,31.0,3D Static Strength Prediction Program 3DSSPP,3d static strength prediction program 3dsspp,1,1,0,0
O*NET,31.0,3D Systems Geomagic Design X,3d systems geomagic design x,2,2,0,0
O*NET,31.0,3D Systems GibbsCAM,3d systems gibbscam,1,1,0,0
O*NET,31.0,3D urban simulation modeling software,3d urban simulation modeling software,1,1,0,0
O*NET,31.0,3DGrid HIPAA Checkup,3dgrid hipaa checkup,1,1,0,0
O*NET,31.0,3dMapper,3dmapper,1,1,0,0
O*NET,31.0,3M Electronic Monitoring,3m electronic monitoring,2,2,0,0
O*NET,31.0,3M Encoder,3m encoder,2,2,0,0
O*NET,31.0,3M Post-it App,3m post-it app,20,20,0,0
O*NET,31.0,3PL Central,3pl central,2,2,0,0
O*NET,31.0,4n6xprt Systems StiffCalcs,4n6xprt systems stiffcalcs,1,1,0,0
O*NET,31.0,5AM Glassbox Translational Research,5am glassbox translational research,2,2,0,0
O*NET,31.0,80-20 Software Leaders4,80-20 software leaders4,1,1,0,0
O*NET,31.0,911 system information databases,911 system information databases,1,1,0,0
O*NET,31.0,@Road GeoManager,@road geomanager,1,1,0,0
O*NET,31.0,a la mode Pocket TOTAL,a la mode pocket total,1,1,0,0
O*NET,31.0,a la mode WinTOTAL,a la mode wintotal,2,2,0,0
O*NET,31.0,A Large Outdoor Fire plume Trajectory model Flat Terrain ALOFT-FT,a large outdoor fire plume trajectory model flat terrain aloft-ft,1,1,0,0
O*NET,31.0,A mathematical programming language AMPL,a mathematical programming language ampl,2,2,0,0
O*NET,31.0,A programming language APL,a programming language apl,4,4,0,0
O*NET,31.0,A&D Technology iTest,a&d technology itest,1,1,0,0
O*NET,31.0,A-Systems JobView,a-systems jobview,3,3,0,0
O*NET,31.0,A-T Solutions Easy Street Draw,a-t solutions easy street draw,1,1,0,0
O*NET,31.0,A1-Law,a1-law,1,1,0,0
O*NET,31.0,AABACH Graphic Systems DIGRA,aabach graphic systems digra,1,1,0,0
O*NET,31.0,AASoftTech Web Organization Chart,aasofttech web organization chart,1,1,0,0
O*NET,31.0,Ab Initio,ab initio,5,5,0,0
O*NET,31.0,Abacus Data Solutions HearWare,abacus data solutions hearware,1,1,0,0
O*NET,31.0,Abacus Data Systems AbacusLaw,abacus data systems abacuslaw,1,1,0,0
O*NET,31.0,Abacus Tax,abacus tax,1,1,0,0
O*NET,31.0,AbacusNext HotDocs,abacusnext hotdocs,4,4,0,0
O*NET,31.0,ABB CPM4Metals,abb cpm4metals,1,1,0,0
O*NET,31.0,ABB MicroSCADA Pro DMS,abb microscada pro dms,1,1,0,0
O*NET,31.0,ABB MicroSCADA Pro SYS,abb microscada pro sys,1,1,0,0
O*NET,31.0,ABB Optimize IT Predict & Control,abb optimize it predict & control,1,1,0,0
O*NET,31.0,ABB Production Planning,abb production planning,1,1,0,0
O*NET,31.0,ABB PSGuard,abb psguard,1,1,0,0
O*NET,31.0,ABB RobotStudio,abb robotstudio,1,1,0,0
O*NET,31.0,Abbott,abbott,1,1,0,0
O*NET,31.0,Abbott Informatics STARLIMS:LIMS,abbott informatics starlims:lims,1,1,0,0
O*NET,31.0,AbbottSoft QuickFix,abbottsoft quickfix,1,1,0,0
O*NET,31.0,ABC Compiler,abc compiler,3,3,0,0
O*NET,31.0,ABC programming language,abc programming language,1,1,0,0
O*NET,31.0,ABC: the AspectBench Compiler for AspectJ,abc: the aspectbench compiler for aspectj,3,3,0,0
O*NET,31.0,ABELSoft ABELDent,abelsoft abeldent,1,1,0,0
O*NET,31.0,Abilis CORIS Offender Management System,abilis coris offender management system,1,1,0,0
O*NET,31.0,Ability Photopaint,ability photopaint,1,1,0,0
O*NET,31.0,ABOL Manifest Systems,abol manifest systems,1,1,0,0
O*NET,31.0,Abraxas Energy Consulting Metrix,abraxas energy consulting metrix,1,1,0,0
O*NET,31.0,Absorption process simulation software,absorption process simulation software,1,1,0,0
O*NET,31.0,Abstraction plus reference plus synthesis A++,abstraction plus reference plus synthesis a++,1,1,0,0
O*NET,31.0,AcaClone pDRAW32,acaclone pdraw32,1,1,0,0
O*NET,31.0,Academic educational software,academic educational software,1,1,0,0
O*NET,31.0,Acarda CallAssist,acarda callassist,1,1,0,0
O*NET,31.0,Acarda ForbiddenCalls,acarda forbiddencalls,1,1,0,0
O*NET,31.0,Acarda Sales Technologies Acarda Outbound,acarda sales technologies acarda outbound,1,1,0,0
O*NET,31.0,AcaStat Software,acastat software,1,1,0,0
O*NET,31.0,ACCA Manual J,acca manual j,1,1,0,0
O*NET,31.0,Accela KIVA DMS,accela kiva dms,1,1,0,0
O*NET,31.0,Accela PERMITS Plus,accela permits plus,1,1,0,0
O*NET,31.0,Accela Tidemark Advantage,accela tidemark advantage,1,1,0,0
O*NET,31.0,Accelerated life testing software,accelerated life testing software,1,1,0,0
O*NET,31.0,Accellos Real Dispatch,accellos real dispatch,2,2,0,0
O*NET,31.0,Accelrys Cerius2,accelrys cerius2,2,2,0,0
O*NET,31.0,Accelrys DeCipher,accelrys decipher,1,1,0,0
O*NET,31.0,Accelrys FELIX,accelrys felix,1,1,0,0
O*NET,31.0,Accelrys Insight II,accelrys insight ii,1,1,0,0
O*NET,31.0,Accelrys Materials Studio,accelrys materials studio,1,1,0,0
O*NET,31.0,Accelrys Pipeline Pilot,accelrys pipeline pilot,1,1,0,0
O*NET,31.0,Accelrys QAUNTA,accelrys qaunta,1,1,0,0
O*NET,31.0,Access management software,access management software,7,7,0,0
O*NET,31.0,Access Software AIRPAX,access software airpax,2,2,0,0
O*NET,31.0,AccessData FTK,accessdata ftk,3,3,0,0
O*NET,31.0,Acclaim Legal Acclaim DepoManage,acclaim legal acclaim depomanage,1,1,0,0
O*NET,31.0,Account management software,account management software,2,2,0,0
O*NET,31.0,Accountants Templates JAZZ-It!,accountants templates jazz-it!,1,1,0,0
O*NET,31.0,AccountantsWorld Payroll Relief,accountantsworld payroll relief,1,1,0,0
O*NET,31.0,Accounting compliance software,accounting compliance software,1,1,0,0
O*NET,31.0,Accounting fraud detection software,accounting fraud detection software,1,1,0,0
O*NET,31.0,AccountMate Software AccountMate,accountmate software accountmate,1,1,0,0
O*NET,31.0,Accounts payable software,accounts payable software,3,3,0,0
O*NET,31.0,Accounts receivable software,accounts receivable software,5,5,0,0
O*NET,31.0,Accounts receivables system software,accounts receivables system software,1,1,0,0
O*NET,31.0,Accra Med Software Filopto,accra med software filopto,1,1,0,0
O*NET,31.0,ACCUCert,accucert,1,1,0,0
O*NET,31.0,Accuity EPICWare,accuity epicware,1,1,0,0
O*NET,31.0,Acculaw Court Reporters Billing Scheduling Job Management System ABSMS,acculaw court reporters billing scheduling job management system absms,1,1,0,0
O*NET,31.0,Accurate NXG,accurate nxg,2,2,0,0
O*NET,31.0,Accuship Star System,accuship star system,1,1,0,0
O*NET,31.0,Accutech Systems Corporation AccuFarm-MGR,accutech systems corporation accufarm-mgr,1,1,0,0
O*NET,31.0,AccuWeather Galileo,accuweather galileo,1,1,0,0
O*NET,31.0,Accvision ABMIS,accvision abmis,1,1,0,0
O*NET,31.0,ACD Systems Canvas,acd systems canvas,5,5,0,0
O*NET,31.0,ACE Dental,ace dental,1,1,0,0
O*NET,31.0,AceTools.biz Ace Translator,acetools.biz ace translator,1,1,0,0
O*NET,31.0,ACI Appraiser's Choice,aci appraiser's choice,1,1,0,0
O*NET,31.0,ACI TaskTracker,aci tasktracker,1,1,0,0
O*NET,31.0,ACL Analytics,acl analytics,1,1,0,0
O*NET,31.0,ACL Audit Exchange,acl audit exchange,1,1,0,0
O*NET,31.0,ACL Business Assurance Analytics,acl business assurance analytics,1,1,0,0
O*NET,31.0,AcmeStudio,acmestudio,1,1,0,0
O*NET,31.0,ACMS Casewatch Millenium,acms casewatch millenium,1,1,0,0
O*NET,31.0,ACOM Solutions RAPID EMR,acom solutions rapid emr,2,2,0,0
O*NET,31.0,AcornSystems Corporate Performance Management,acornsystems corporate performance management,2,2,0,0
O*NET,31.0,AcorynSystems Activity Based Costing/Management ABC/M,acorynsystems activity based costing/management abc/m,1,1,0,0
O*NET,31.0,Acoustica Mixcraft,acoustica mixcraft,1,1,0,0
O*NET,31.0,Acrendo A.I.med,acrendo a.i.med,1,1,0,0
O*NET,31.0,Acrendo Medical Software Family Practice EMR,acrendo medical software family practice emr,1,1,0,0
O*NET,31.0,Acrendo Medical Software Ob/Gyn EMR,acrendo medical software ob/gyn emr,2,2,0,0
O*NET,31.0,Acresso InstallAnywhere,acresso installanywhere,1,1,0,0
O*NET,31.0,Acronis Recovery Expert,acronis recovery expert,2,2,0,0
O*NET,31.0,ACS Technologies ACS Financial Suite,acs technologies acs financial suite,1,1,0,0
O*NET,31.0,ACS Technologies HeadMaster,acs technologies headmaster,2,2,0,0
O*NET,31.0,ACT Contractors Forms,act contractors forms,1,1,0,0
O*NET,31.0,ACT Discover,act discover,1,1,0,0
O*NET,31.0,ACT WorkKeys,act workkeys,1,1,0,0
O*NET,31.0,Act!,act!,7,7,0,0
O*NET,31.0,ACT! ACT4Advisors,act! act4advisors,1,1,0,0
O*NET,31.0,ACT! Premium,act! premium,2,2,0,0
O*NET,31.0,Act-3D Quest3D,act-3d quest3d,1,1,0,0
O*NET,31.0,Actano Rplan,actano rplan,1,1,0,0
O*NET,31.0,Actimize Brokerage Compliance Solutions,actimize brokerage compliance solutions,1,1,0,0
O*NET,31.0,ActionWare,actionware,2,2,0,0
O*NET,31.0,Activant Solutions Activant Prophet 21,activant solutions activant prophet 21,1,1,0,0
O*NET,31.0,Active Data Online WebChat,active data online webchat,1,1,0,0
O*NET,31.0,Active directory software,active directory software,5,5,0,0
O*NET,31.0,Active Network EventRegister,active network eventregister,1,1,0,0
O*NET,31.0,Actsoft Comet Tracker,actsoft comet tracker,3,3,0,0
O*NET,31.0,Actuarial Systems Corporation AIM,actuarial systems corporation aim,1,1,0,0
O*NET,31.0,Actuarial Systems Corporation Compliance Testing System,actuarial systems corporation compliance testing system,1,1,0,0
O*NET,31.0,Actuarial Systems Corporation Defined Benefit System,actuarial systems corporation defined benefit system,1,1,0,0
O*NET,31.0,Actuarial Systems Corporation Document Generation and Management System,actuarial systems corporation document generation and management system,1,1,0,0
O*NET,31.0,Actuarial Systems Corporation DV Direct,actuarial systems corporation dv direct,1,1,0,0
O*NET,31.0,Actuate BIRT,actuate birt,2,2,0,0
O*NET,31.0,Actuate DocBook,actuate docbook,1,1,0,0
O*NET,31.0,Actuate Eclipse BIRT,actuate eclipse birt,1,1,0,0
O*NET,31.0,AcuityPro,acuitypro,2,2,0,0
O*NET,31.0,AcuPartner Professional,acupartner professional,1,1,0,0
O*NET,31.0,AcuStaf,acustaf,1,1,0,0
O*NET,31.0,AD OPT Altitude,ad opt altitude,1,1,0,0
O*NET,31.0,Ada,ada,11,11,0,0
O*NET,31.0,Adapt It,adapt it,1,1,0,0
O*NET,31.0,ADAPT-Modeler,adapt-modeler,1,1,0,0
O*NET,31.0,AdaptaSoft CyberPay,adaptasoft cyberpay,2,2,0,0
O*NET,31.0,Adaptive conjoint analysis ACA software,adaptive conjoint analysis aca software,1,1,0,0
O*NET,31.0,Adaptive Metadata Manager,adaptive metadata manager,1,1,0,0
O*NET,31.0,Adaptive optics AO simulation software,adaptive optics ao simulation software,1,1,0,0
O*NET,31.0,Adaptive Planning,adaptive planning,1,1,0,0
O*NET,31.0,ADC Legal Systems Perfect Practice,adc legal systems perfect practice,1,1,0,0
