source,source_version,original_name,normalized_name,occurrence_count
O*NET,31.0,Complex Problem Solving,complex problem solving,1820
O*NET,31.0,Coordination,coordination,1820
O*NET,31.0,Equipment Maintenance,equipment maintenance,1820
O*NET,31.0,Equipment Selection,equipment selection,1820
O*NET,31.0,Installation,installation,1820
O*NET,31.0,Instructing,instructing,1820
O*NET,31.0,Judgment and Decision Making,judgment and decision making,1820
O*NET,31.0,Management of Financial Resources,management of financial resources,1820
O*NET,31.0,Management of Material Resources,management of material resources,1820
O*NET,31.0,Management of Personnel Resources,management of personnel resources,1820
O*NET,31.0,Negotiation,negotiation,1820
O*NET,31.0,Operation and Control,operation and control,1820
O*NET,31.0,Operations Analysis,operations analysis,1820
O*NET,31.0,Operations Monitoring,operations monitoring,1820
O*NET,31.0,Persuasion,persuasion,1820
O*NET,31.0,Programming,programming,1820
O*NET,31.0,Quality Control Analysis,quality control analysis,1820
O*NET,31.0,Repairing,repairing,1820
O*NET,31.0,Service Orientation,service orientation,1820
O*NET,31.0,Social Perceptiveness,social perceptiveness,1820
O*NET,31.0,Systems Analysis,systems analysis,1820
O*NET,31.0,Systems Evaluation,systems evaluation,1820
O*NET,31.0,Technology Design,technology design,1820
O*NET,31.0,Time Management,time management,1820
O*NET,31.0,Troubleshooting,troubleshooting,1820
