source,source_version,onet_soc_code,occupation_title,element_id,element_name,importance,level,date,domain_source
O*NET,31.0,11-1011.00,Chief Executives,2.B.1.a,Social Perceptiveness,4.12,4.25,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.1.b,Coordination,4.25,4.88,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.1.c,Persuasion,4.00,4.75,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.1.d,Negotiation,4.12,4.75,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.1.e,Instructing,3.38,3.88,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.1.f,Service Orientation,3.12,3.38,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.2.i,Complex Problem Solving,4.38,4.88,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.3.a,Operations Analysis,3.12,3.88,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.3.b,Technology Design,1.75,0.88,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.3.c,Equipment Selection,1.12,0.25,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.3.d,Installation,1.00,0.00,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.3.e,Programming,1.75,1.00,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.3.g,Operations Monitoring,2.00,1.50,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.3.h,Operation and Control,1.88,1.38,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.3.j,Equipment Maintenance,1.00,0.00,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.3.k,Troubleshooting,1.50,0.50,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.3.l,Repairing,1.00,0.00,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.3.m,Quality Control Analysis,1.88,1.12,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.4.e,Judgment and Decision Making,4.75,5.38,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.4.g,Systems Analysis,4.12,5.12,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.4.h,Systems Evaluation,4.25,5.00,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.5.a,Time Management,4.00,4.75,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.5.b,Management of Financial Resources,4.25,5.25,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.5.c,Management of Material Resources,4.00,4.75,08/2023,Analyst
O*NET,31.0,11-1011.00,Chief Executives,2.B.5.d,Management of Personnel Resources,4.25,5.25,08/2023,Analyst
