career_title,skill_name,required_level,importance
Software Developer,Python,4,5
Software Developer,Java,4,5
Software Developer,Data Structures,4,5
Software Developer,Git,3,4
Software Developer,SQL,3,3

Web Developer,HTML,4,5
Web Developer,CSS,4,5
Web Developer,JavaScript,4,5
Web Developer,React,3,4
Web Developer,Git,3,3

Data Analyst,Python,3,5
Data Analyst,SQL,4,5
Data Analyst,Excel,4,4
Data Analyst,Statistics,3,5
Data Analyst,Power BI,3,4

Data Scientist,Python,4,5
Data Scientist,SQL,3,4
Data Scientist,Statistics,4,5
Data Scientist,Machine Learning,4,5
Data Scientist,Pandas,4,4

AI/ML Engineer,Python,4,5
AI/ML Engineer,Machine Learning,4,5
AI/ML Engineer,Deep Learning,4,5
AI/ML Engineer,TensorFlow,3,4
AI/ML Engineer,Statistics,3,4

Cloud Engineer,Linux,4,5
Cloud Engineer,Networking,4,5
Cloud Engineer,AWS,4,5
Cloud Engineer,Python,3,3
Cloud Engineer,Docker,3,4

DevOps Engineer,Linux,4,5
DevOps Engineer,Docker,4,5
DevOps Engineer,Kubernetes,4,5
DevOps Engineer,Git,4,4
DevOps Engineer,CI/CD,4,5

Cybersecurity Analyst,Linux,4,5
Cybersecurity Analyst,Networking,4,5
Cybersecurity Analyst,Cybersecurity,4,5
Cybersecurity Analyst,Python,3,3
Cybersecurity Analyst,SIEM,3,4

Network Engineer,Networking,5,5
Network Engineer,Linux,3,3
Network Engineer,Routing and Switching,4,5
Network Engineer,CCNA,4,4
Network Engineer,Network Security,3,4

Database Administrator,SQL,5,5
Database Administrator,PostgreSQL,4,5
Database Administrator,MySQL,4,4
Database Administrator,Linux,3,3
Database Administrator,Database Security,3,4
